classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6791154791154791,0.6802812497774771,0.6791154791154791
Support Vector Machines,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5144963144963144,0.5397855857550257,0.5144963144963144
Logistic Regression,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5729729729729731,0.5881702364214317,0.5729729729729731
Naive Bayes,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.678869778869779,0.6792886407544859,0.678869778869779
Support Vector Machines,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5162162162162162,0.5426400539596584,0.5162162162162162
Logistic Regression,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.574938574938575,0.5884949145604284,0.574938574938575
Naive Bayes,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7226044226044225,0.7202641935565075,0.7226044226044225
Support Vector Machines,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5633906633906633,0.5730415742997325,0.5633906633906633
Logistic Regression,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6262899262899263,0.6336788428060542,0.6262899262899263
Naive Bayes,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7221130221130221,0.7160924250622593,0.7221130221130221
Support Vector Machines,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5702702702702703,0.5809959001564345,0.5702702702702703
Logistic Regression,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6361179361179361,0.6421838565730174,0.6361179361179361
Naive Bayes,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.660933660933661,0.7217816500948334,0.660933660933661
Support Vector Machines,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5122850122850122,0.5423325155532966,0.5122850122850122
Logistic Regression,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6412776412776413,0.6418940671576777,0.6412776412776413
Naive Bayes,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6624078624078624,0.7270626624322702,0.6624078624078624
Support Vector Machines,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5115479115479116,0.5402735091921738,0.5115479115479116
Logistic Regression,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6415233415233415,0.6414915872642031,0.6415233415233415
Naive Bayes,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6987714987714988,0.7585730838487278,0.6987714987714988
Support Vector Machines,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5950859950859951,0.6162236184069929,0.5950859950859951
Logistic Regression,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7113022113022114,0.7180415235296731,0.7113022113022114
Naive Bayes,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7953316953316953,0.7946734346795143,0.7953316953316953
Support Vector Machines,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8643734643734644,0.8730625414464889,0.8643734643734644
Logistic Regression,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8429975429975431,0.8509954355425677,0.8429975429975431
Naive Bayes,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7992628992628992,0.7980819525526682,0.7992628992628992
Support Vector Machines,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8653562653562654,0.8708602050336834,0.8653562653562654
Logistic Regression,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8415233415233414,0.8498259183505865,0.8415233415233414
Naive Bayes,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6894348894348894,0.7490194003990783,0.6894348894348894
Support Vector Machines,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5987714987714987,0.6251761312502839,0.5987714987714987
Logistic Regression,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7294840294840296,0.7334702900534615,0.7294840294840296
Naive Bayes,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7778869778869779,0.7787299589070511,0.7778869778869779
Support Vector Machines,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8542997542997544,0.8636783445557583,0.8542997542997544
Logistic Regression,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8363636363636363,0.8445287895822782,0.8363636363636363
Naive Bayes,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7550368550368549,0.7656136300471672,0.7550368550368549
Support Vector Machines,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8611793611793612,0.8707169102932324,0.8611793611793612
Logistic Regression,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8457002457002456,0.8540980437668907,0.8457002457002456
Naive Bayes,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.818918918918919,0.8252858783209142,0.818918918918919
Support Vector Machines,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8803439803439804,0.8876651421967561,0.8803439803439804
Logistic Regression,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8609336609336609,0.8722679628035512,0.8609336609336609
Naive Bayes,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8152334152334152,0.818148454533677,0.8152334152334152
Support Vector Machines,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8781326781326781,0.8850907038600739,0.8781326781326781
Logistic Regression,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8565110565110565,0.8680125757827575,0.8565110565110565
Naive Bayes,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8004914004914004,0.8086009158099816,0.8004914004914004
Support Vector Machines,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8631449631449633,0.8673166909603373,0.8631449631449633
