classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.654,0.6624478273564315,0.654
Support Vector Machines,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5576923076923077,0.6695198009912788,0.5576923076923077
Logistic Regression,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6389230769230769,0.7001681213996188,0.6389230769230769
Naive Bayes,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6758461538461538,0.6749006100590309,0.6758461538461538
Support Vector Machines,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.598,0.6643572794019994,0.598
Logistic Regression,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6686153846153847,0.692169350657978,0.6686153846153847
Naive Bayes,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.672,0.6713970455604052,0.672
Support Vector Machines,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5901538461538463,0.6585563405805387,0.5901538461538463
Logistic Regression,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6646153846153846,0.690421051368308,0.6646153846153846
Naive Bayes,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.548923076923077,0.5753093234068598,0.548923076923077
Support Vector Machines,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6227692307692309,0.6496160785617566,0.6227692307692309
Logistic Regression,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6601538461538461,0.6700453998726805,0.6601538461538461
Naive Bayes,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.546923076923077,0.5722052354590094,0.546923076923077
Support Vector Machines,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6224615384615385,0.6487562785427118,0.6224615384615385
Logistic Regression,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6579999999999999,0.6657800627709543,0.6579999999999999
Naive Bayes,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5329230769230768,0.5600392582673698,0.5329230769230768
Support Vector Machines,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6433846153846154,0.6578885416524811,0.6433846153846154
Logistic Regression,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6912307692307692,0.6900271184055247,0.6912307692307692
Naive Bayes,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.532,0.5641615090027947,0.532
Support Vector Machines,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6416923076923078,0.6555894402403194,0.6416923076923078
Logistic Regression,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6915384615384615,0.6897237822042627,0.6915384615384615
Naive Bayes,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8709230769230768,0.8715737789685878,0.8709230769230768
Support Vector Machines,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.942923076923077,0.9416228642446727,0.942923076923077
Logistic Regression,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9324615384615385,0.9334531657079689,0.9324615384615385
Naive Bayes,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8695384615384615,0.870696798103776,0.8695384615384615
Support Vector Machines,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9429230769230769,0.9415032617981766,0.9429230769230769
Logistic Regression,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9332307692307694,0.9342687584864944,0.9332307692307694
Naive Bayes,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8658461538461539,0.8655832260152172,0.8658461538461539
Support Vector Machines,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.934923076923077,0.9341709312672435,0.934923076923077
Logistic Regression,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9239999999999998,0.9252718536828446,0.9239999999999998
Naive Bayes,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9152307692307694,0.9147595348451233,0.9152307692307694
Support Vector Machines,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9363076923076923,0.9355441523303878,0.9363076923076923
Logistic Regression,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9343076923076922,0.9338703688173091,0.9343076923076922
Naive Bayes,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9153846153846155,0.9175494608257642,0.9153846153846155
Support Vector Machines,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9453846153846154,0.9440819597266363,0.9453846153846154
Logistic Regression,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.939076923076923,0.9395390218198783,0.939076923076923
Naive Bayes,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9084615384615384,0.9098533439003784,0.9084615384615384
Support Vector Machines,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9470769230769231,0.9457098222613782,0.9470769230769231
Logistic Regression,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9400000000000001,0.9403045835529094,0.9400000000000001
