classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7577844311377245,0.7513332351293714,0.7577844311377245
Support Vector Machines,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6645209580838324,0.6951397594812379,0.6645209580838324
Logistic Regression,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.698802395209581,0.7301759906198589,0.698802395209581
Naive Bayes,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7601796407185628,0.7534671225543597,0.7601796407185628
Support Vector Machines,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6643712574850299,0.694782574677616,0.6643712574850299
Logistic Regression,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6973053892215569,0.7281122041758449,0.6973053892215569
Naive Bayes,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7467065868263473,0.7356565836798236,0.7467065868263473
Support Vector Machines,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6658682634730538,0.6819263679417171,0.6658682634730538
Logistic Regression,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7110778443113771,0.7291371153623283,0.7110778443113771
Naive Bayes,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7494011976047903,0.7402802550332245,0.7494011976047903
Support Vector Machines,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6615269461077845,0.6768972894030799,0.6615269461077845
Logistic Regression,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7146706586826348,0.7301892874582107,0.7146706586826348
Naive Bayes,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6732035928143713,0.6446661411381626,0.6732035928143713
Support Vector Machines,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.46751497005988024,0.5777938760538578,0.46751497005988024
Logistic Regression,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5230538922155689,0.6168144147363407,0.5230538922155689
Naive Bayes,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6684131736526947,0.6405585232439371,0.6684131736526947
Support Vector Machines,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.46901197604790423,0.5809724478728215,0.46901197604790423
